이름,학년,반,1순위,2순위,3순위
학생01,1,1,1,2,5
학생02,1,1,1,2,5
학생03,1,1,1,2,5
학생04,1,1,1,2,5
학생05,1,1,1,2,5
학생06,1,1,1,2,5
학생07,2,1,1,2,6
학생08,2,1,1,2,6
학생09,2,1,1,2,6
학생10,2,1,1,2,6
학생11,2,1,1,2,6
학생12,2,1,1,2,6
학생13,3,1,1,3,7
학생14,3,1,1,3,7
학생15,3,1,1,3,7
학생16,3,1,1,3,7
학생17,3,1,1,3,7
학생18,3,1,1,3,7
학생19,1,2,1,3,4
학생20,1,2,1,3,4
학생21,1,2,1,3,4
학생22,1,2,1,3,4
학생23,1,2,1,3,4
학생24,1,2,1,3,4
학생25,2,2,1,3,4
학생26,2,2,1,3,4
학생27,2,2,1,3,4
학생28,2,2,1,3,4
학생29,2,2,1,3,4
학생30,2,2,1,3,4
학생31,3,2,2,3,4
학생32,3,2,2,3,4
학생33,3,2,2,3,4
학생34,3,2,2,3,4
학생35,3,2,2,3,4
학생36,3,2,2,3,4
